,Transaction Date,Item,Quantity
0,2023-01-01,Cake,7
1,2023-01-01,Coffee,8
2,2023-01-01,Juice,6
3,2023-01-01,Salad,2
4,2023-01-01,Sandwich,11
5,2023-01-01,Smoothie,2
6,2023-01-01,Tea,3
7,2023-01-02,Cake,3
8,2023-01-02,Cookie,9
9,2023-01-02,Salad,4
10,2023-01-02,Sandwich,9
11,2023-01-02,Smoothie,3
12,2023-01-02,Tea,2
13,2023-01-03,Cake,9
14,2023-01-03,Coffee,3
15,2023-01-03,Cookie,4
16,2023-01-03,Juice,9
17,2023-01-03,Salad,5
18,2023-01-03,Sandwich,6
19,2023-01-04,Cake,3
20,2023-01-04,Coffee,11
21,2023-01-04,Juice,6
22,2023-01-04,Salad,9
23,2023-01-04,Sandwich,10
24,2023-01-04,Smoothie,13
25,2023-01-04,Tea,2
26,2023-01-05,Cake,9
27,2023-01-05,Coffee,10
28,2023-01-05,Cookie,7
29,2023-01-05,Juice,18
30,2023-01-05,Salad,18
31,2023-01-05,Sandwich,14
32,2023-01-05,Smoothie,1
33,2023-01-05,Tea,12
34,2023-01-06,Cake,4
35,2023-01-06,Coffee,23
36,2023-01-06,Cookie,5
37,2023-01-06,Juice,8
38,2023-01-06,Salad,7
39,2023-01-06,Sandwich,12
40,2023-01-06,Smoothie,4
41,2023-01-06,Tea,17
42,2023-01-07,Cake,5
43,2023-01-07,Coffee,1
44,2023-01-07,Cookie,17
45,2023-01-07,Juice,4
46,2023-01-07,Salad,4
47,2023-01-07,Sandwich,2
48,2023-01-07,Smoothie,13
49,2023-01-07,Tea,3
50,2023-01-08,Cake,13
51,2023-01-08,Coffee,10
52,2023-01-08,Juice,2
53,2023-01-08,Salad,13
54,2023-01-08,Sandwich,8
55,2023-01-08,Smoothie,7
56,2023-01-08,Tea,4
57,2023-01-09,Coffee,22
58,2023-01-09,Cookie,3
59,2023-01-09,Juice,2
60,2023-01-09,Salad,9
61,2023-01-09,Sandwich,1
62,2023-01-09,Smoothie,11
63,2023-01-09,Tea,4
64,2023-01-10,Cake,7
65,2023-01-10,Coffee,5
66,2023-01-10,Cookie,7
67,2023-01-10,Juice,20
68,2023-01-10,Salad,10
69,2023-01-10,Sandwich,9
70,2023-01-10,Smoothie,2
71,2023-01-11,Cake,6
72,2023-01-11,Coffee,8
73,2023-01-11,Cookie,4
74,2023-01-11,Juice,4
75,2023-01-11,Salad,4
76,2023-01-11,Sandwich,7
77,2023-01-11,Smoothie,3
78,2023-01-11,Tea,6
79,2023-01-12,Cake,7
80,2023-01-12,Coffee,5
81,2023-01-12,Cookie,5
82,2023-01-12,Juice,20
83,2023-01-12,Salad,13
84,2023-01-12,Sandwich,16
85,2023-01-12,Smoothie,10
86,2023-01-12,Tea,7
87,2023-01-13,Cake,5
88,2023-01-13,Coffee,1
89,2023-01-13,Cookie,4
90,2023-01-13,Juice,12
91,2023-01-13,Salad,5
92,2023-01-13,Sandwich,14
93,2023-01-13,Smoothie,7
94,2023-01-14,Coffee,4
95,2023-01-14,Cookie,16
96,2023-01-14,Juice,13
97,2023-01-14,Salad,11
98,2023-01-14,Sandwich,7
99,2023-01-14,Smoothie,6
100,2023-01-14,Tea,12
101,2023-01-15,Cake,3
102,2023-01-15,Coffee,5
103,2023-01-15,Cookie,4
104,2023-01-15,Juice,9
105,2023-01-15,Salad,4
106,2023-01-15,Sandwich,6
107,2023-01-15,Smoothie,4
108,2023-01-15,Tea,9
109,2023-01-16,Cake,3
110,2023-01-16,Coffee,2
111,2023-01-16,Cookie,7
112,2023-01-16,Juice,7
113,2023-01-16,Salad,4
114,2023-01-16,Sandwich,21
115,2023-01-16,Smoothie,6
116,2023-01-17,Cake,10
117,2023-01-17,Cookie,10
118,2023-01-17,Juice,11
119,2023-01-17,Salad,10
120,2023-01-17,Sandwich,11
121,2023-01-17,Smoothie,5
122,2023-01-17,Tea,14
123,2023-01-18,Cake,9
124,2023-01-18,Coffee,8
125,2023-01-18,Cookie,10
126,2023-01-18,Juice,5
127,2023-01-18,Salad,9
128,2023-01-18,Sandwich,6
129,2023-01-18,Smoothie,5
