,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2023-01-01,5128.160823,4942.330847435905,5309.927560597143,5128.160823,5128.160823,0.0,0.0,0.0,0.0,0.0,0.0,5128.160823
1,2023-02-01,5150.760223484731,4960.073321482295,5329.979183039783,5150.760223484731,5150.760223484731,0.0,0.0,0.0,0.0,0.0,0.0,5150.760223484731
2,2023-03-01,5171.172585825113,4982.570111798472,5361.606549182693,5171.172585825113,5171.172585825113,0.0,0.0,0.0,0.0,0.0,0.0,5171.172585825113
3,2023-04-01,5193.7719870264,5012.59884458976,5378.476552802773,5193.7719870264,5193.7719870264,0.0,0.0,0.0,0.0,0.0,0.0,5193.7719870264
4,2023-05-01,5215.642375072811,5035.208131532207,5398.075336649749,5215.642375072811,5215.642375072811,0.0,0.0,0.0,0.0,0.0,0.0,5215.642375072811
5,2023-06-01,5238.241776129284,5047.164564338081,5411.835624461595,5238.241776129284,5238.241776129284,0.0,0.0,0.0,0.0,0.0,0.0,5238.241776129284
6,2023-07-01,5260.064262661683,5066.550381017034,5445.016377631936,5260.064262661683,5260.064262661683,0.0,0.0,0.0,0.0,0.0,0.0,5260.064262661683
7,2023-08-01,5282.614165495978,5102.349931185191,5469.0525491470635,5282.614165495978,5282.614165495978,0.0,0.0,0.0,0.0,0.0,0.0,5282.614165495978
8,2023-09-01,5305.164067651255,5115.648222945006,5505.144284488993,5305.164067651255,5305.164067651255,0.0,0.0,0.0,0.0,0.0,0.0,5305.164067651255
9,2023-10-01,5326.986553510956,5167.3093894008525,5530.522711829827,5326.986553510956,5326.986553510956,0.0,0.0,0.0,0.0,0.0,0.0,5326.986553510956
10,2023-11-01,5349.53645556598,5160.077101918388,5530.6669514615005,5349.53645556598,5349.53645556598,0.0,0.0,0.0,0.0,0.0,0.0,5349.53645556598
11,2023-12-01,5371.35894142568,5173.407035497207,5557.344427551023,5371.35894142568,5371.35894142568,0.0,0.0,0.0,0.0,0.0,0.0,5371.35894142568
12,2023-12-31,5393.18142728538,5194.154671149371,5582.0153007389445,5393.177537156995,5393.185550741945,0.0,0.0,0.0,0.0,0.0,0.0,5393.18142728538
13,2024-01-31,5415.731329340404,5236.354232778065,5605.081047026976,5415.718336833066,5415.7453118954845,0.0,0.0,0.0,0.0,0.0,0.0,5415.731329340404
14,2024-02-29,5436.826399004781,5250.035780988289,5624.967956017056,5436.802091662985,5436.854094010284,0.0,0.0,0.0,0.0,0.0,0.0,5436.826399004781
15,2024-03-31,5459.376301059804,5280.641220401609,5652.555257103351,5459.337776897679,5459.419474112051,0.0,0.0,0.0,0.0,0.0,0.0,5459.376301059804
16,2024-04-30,5481.198786919505,5298.896507061099,5671.285196905154,5481.141504131192,5481.257614775091,0.0,0.0,0.0,0.0,0.0,0.0,5481.198786919505
17,2024-05-31,5503.748688974529,5312.241947304969,5700.122991447148,5503.669360152251,5503.827962651473,0.0,0.0,0.0,0.0,0.0,0.0,5503.748688974529
18,2024-06-30,5525.571174834229,5341.039083899858,5714.32326478644,5525.473341352408,5525.671859970538,0.0,0.0,0.0,0.0,0.0,0.0,5525.571174834229
19,2024-07-31,5548.121076889253,5362.669118260002,5734.425836439028,5548.000919515974,5548.248326965456,0.0,0.0,0.0,0.0,0.0,0.0,5548.121076889253
20,2024-08-31,5570.670978944277,5378.958278252713,5758.956931376211,5570.52847775767,5570.824335889897,0.0,0.0,0.0,0.0,0.0,0.0,5570.670978944277
21,2024-09-30,5592.493464803977,5406.69926883123,5785.720676821668,5592.322964961938,5592.673999693852,0.0,0.0,0.0,0.0,0.0,0.0,5592.493464803977
22,2024-10-31,5615.043366859,5431.828427262055,5797.194535690485,5614.843588645576,5615.251303878931,0.0,0.0,0.0,0.0,0.0,0.0,5615.043366859
23,2024-11-30,5636.865852718702,5446.865719822822,5814.592028603224,5636.638391767121,5637.09935079395,0.0,0.0,0.0,0.0,0.0,0.0,5636.865852718702
